,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12,margin
694,Assam,Dhubri,WAZED ALI CHOUDHURY,M,52.0,GEN,INC,362676,163,362839,1550166, ,-229730
696,Assam,Dhubri,BADRUDDIN AJMAL,M,59.0,GEN,AIUDF,592338,231,592569,1550166, ,0
711,Assam,Kokrajhar,URKHAO GWRA BRAHMA,M,51.0,ST,IND,278381,268,278649,1505472, ,-355779
712,Assam,Kokrajhar,NABA KUMAR SARANIA (HIRA),M,45.0,ST,IND,634111,317,634428,1505472, ,0
718,Assam,Barpeta,CHANDRA MOHAN PATOWARY,M,56.0,GEN,BJP,352239,122,352361,1430188, ,-42341
719,Assam,Barpeta,SIRAJ UDDIN AJMAL,M,67.0,GEN,AIUDF,394580,122,394702,1430188, ,0
733,Assam,Gauhati,BIJOYA CHAKRAVARTY,F,75.0,GEN,BJP,764904,81,764985,1922270, ,0
735,Assam,Gauhati,MANASH BORAH,M,33.0,GEN,INC,449180,21,449201,1922270, ,-315784
751,Assam,Mangaldoi,KIRIP CHALIHA,M,59.0,GEN,INC,463430,43,463473,1515676, ,-22884
754,Assam,Mangaldoi,RAMEN DEKA,M,59.0,GEN,BJP,486230,127,486357,1515676, ,0
764,Assam,Tezpur,BHUPEN KUMAR BORAH,M,43.0,GEN,INC,360457,34,360491,1259568, ,-86020
766,Assam,Tezpur,RAM PRASAD SARMAH,M,58.0,GEN,BJP,446406,105,446511,1259568, ,0
775,Assam,Nowgong,JONJONALI BARUAH,F,55.0,GEN,INC,350413,174,350587,1523881, ,-143559
777,Assam,Nowgong,RAJEN GOHAIN ,M,63.0,GEN,BJP,494005,141,494146,1523881, ,0
784,Assam,Kaliabor,GOURAV GOGOI,M,31.0,GEN,INC,443032,283,443315,1457219, ,0
786,Assam,Kaliabor,MRINAL KUMAR SAIKIA,M,46.0,GEN,BJP,349262,179,349441,1457219, ,-93874
797,Assam,Jorhat,KAMAKHYA PRASAD TASA,M,38.0,GEN,BJP,456170,250,456420,1189486, ,0
801,Assam,Jorhat,BIJOY KRISHNA HANDIQUE,M,82.0,GEN,INC,353851,149,354000,1189486, ,-102420
809,Assam,Dibrugarh,PABAN SINGH GHATOWAR,M,62.0,GEN,INC,308977,40,309017,1124305, ,-185347
810,Assam,Dibrugarh,RAMESWAR TELI,M,43.0,GEN,BJP,494278,86,494364,1124305, ,0
816,Assam,Lakhimpur,RANEE NARAH,F,50.0,GEN,INC,320305,100,320405,1431080, ,-292138
817,Assam,Lakhimpur,SARBANANDA SONOWAL,M,52.0,ST,BJP,612134,409,612543,1431080, ,0
829,Bihar,Valmiki Nagar,PURNMASI RAM,M,57.0,SC,INC,246116,102,246218,1456598, ,-117795
832,Bihar,Valmiki Nagar,SATISH CHANDRA DUBEY,M,39.0,GEN,BJP,363860,153,364013,1456598, ,0
844,Bihar,Paschim Champaran,PRAKASH JHA,M,61.0,GEN,JD(U),260935,43,260978,1413148, ,-110254
847,Bihar,Paschim Champaran,DR. SANJAY JAISWAL,M,49.0,GEN,BJP,371138,94,371232,1413148, ,0
858,Bihar,Purvi Champaran,BINOD KUMAR SRIVASTAVA,M,54.0,GEN,RJD,208283,6,208289,1439253, ,-192163
859,Bihar,Purvi Champaran,RADHA MOHAN SINGH,M,64.0,GEN,BJP,400435,17,400452,1439253, ,0
874,Bihar,Sheohar,MD ANWARUL HAQUE,M,70.0,GEN,RJD,236180,87,236267,1485801, ,-136239
875,Bihar,Sheohar,RAMA DEVI,F,65.0,GEN,BJP,372388,118,372506,1485801, ,0
891,Bihar,Sitamarhi,SITARAM YADAV,M,66.0,GEN,RJD,263251,49,263300,1574914, ,-147965
897,Bihar,Sitamarhi,RAM KUMAR SHARMA,M,50.0,GEN,BLSP,411222,43,411265,1574914, ,0
909,Bihar,Madhubani,ABDUL BARI SIDDIQUI,M,62.0,GEN,RJD,337459,46,337505,1627832, ,-20535
912,Bihar,Madhubani,HUKM DEO NARAYAN YADAV,M,77.0,GEN,BJP,357989,51,358040,1627832, ,0
922,Bihar,Jhanjharpur,MANGANI LAL MANDAL,M,65.0,GEN,RJD,280024,49,280073,1668405, ,-55408
924,Bihar,Jhanjharpur,BIRENDRA KUMAR CHAUDHARY,M,60.0,GEN,BJP,335440,41,335481,1668405, ,0
943,Bihar,Supaul,DILESHWAR KAMAIT,M,68.0,GEN,JD(U),273255,0,273255,1525583, ,-59672
944,Bihar,Supaul,RANJEET RANJAN,F,41.0,GEN,INC,332925,2,332927,1525583, ,0
955,Bihar,Araria,TASLEEM UDDIN,M,72.0,GEN,RJD,407975,3,407978,1587332, ,0
956,Bihar,Araria,PRADEEP KUMAR SINGH,M,48.0,GEN,BJP,261470,4,261474,1587332, ,-146504
969,Bihar,Kishanganj,DR DILIP  KUMAR JAISWAL,M,50.0,GEN,BJP,298762,87,298849,1438990, ,-194612
971,Bihar,Kishanganj,MOHAMMAD ASRARUL HAQUE,M,67.0,GEN,INC,493294,167,493461,1438990, ,0
979,Bihar,Katihar,TARIQ ANWAR,M,63.0,GEN,NCP,431172,120,431292,1446478, ,0
980,Bihar,Katihar,NIKHIL KUMAR CHOUDHARY,M,68.0,GEN,BJP,316415,137,316552,1446478, ,-114740
1002,Bihar,Purnia,UDAY SINGH ALIAS PAPPU SINGH,M,61.0,GEN,BJP,301979,178,302157,1582626, ,-116669
1004,Bihar,Purnia,SANTOSH KUMAR,M,35.0,GEN,JD(U),418717,109,418826,1582626, ,0
1020,Bihar,Madhepura,RAJESH RANJAN @ PAPPU YADAV,M,46.0,GEN,RJD,368876,61,368937,1725693, ,0
1022,Bihar,Madhepura,SHARAD YADAV,M,66.0,GEN,JD(U),312711,17,312728,1725693, ,-56209
1032,Bihar,Darbhanga,MD. ALI ASHRAF FATMI,M,60.0,GEN,RJD,279905,1,279906,1495445, ,-35043
1033,Bihar,Darbhanga,KIRTI AZAD,M,55.0,GEN,BJP,314933,16,314949,1495445, ,0
1048,Bihar,Muzaffarpur,AKHILESH PD SINGH,M,44.0,GEN,INC,246869,4,246873,1551363, ,-222422
1049,Bihar,Muzaffarpur,AJAY NISHAD,M,45.0,GEN,BJP,469282,13,469295,1551363, ,0
1078,Bihar,Vaishali,RAGHUVANSH PRASAD SINGH,M,67.0,GEN,RJD,206180,3,206183,1566321, ,-99267
1079,Bihar,Vaishali,RAMA KISHORE SINGH,M,51.0,GEN,LJP,305446,4,305450,1566321, ,0
1103,Bihar,Gopalganj (SC),JANAK RAM,M,42.0,SC,BJP,478758,15,478773,1654838, ,0
1104,Bihar,Gopalganj (SC),DR. JYOTI BHARTI,F,58.0,SC,INC,191832,5,191837,1654838, ,-286936
1116,Bihar,Siwan,OM PRAKASH YADAV,M,48.0,GEN,BJP,372659,11,372670,1563860, ,0
1119,Bihar,Siwan,HENA SHAHAB,F,41.0,GEN,RJD,258818,5,258823,1563860, ,-113847
1130,Bihar,Maharajganj,"JANARDAN SINGH ""SIGRIWAL""",M,50.0,GEN,BJP,320645,108,320753,1642068, ,-150789
1142,Bihar,Saran,RAJIV PRATAP RUDY,M,53.0,GEN,BJP,354738,382,355120,1538740, ,0
1143,Bihar,Saran,RABRI DEVI,F,61.0,GEN,RJD,313878,294,314172,1538740, ,-40948
1155,Bihar,Hajipur (SC),RAMVILAS PASWAN,M,67.0,SC,LJP,454874,778,455652,1649547, ,0
1156,Bihar,Hajipur (SC),SANJEEV PRASAD TONI,M,57.0,SC,INC,229816,336,230152,1649547, ,-225500
1170,Bihar,Ujiarpur,ALOK KUMAR MEHTA,M,45.0,GEN,RJD,256881,2,256883,1426217, ,-60469
1172,Bihar,Ujiarpur,NITYANAND RAI,M,48.0,GEN,BJP,317339,13,317352,1426217, ,0
