,pc_name,party,max_total_votes,total_electors
1841,Mandi,BJP,647189,1281462
2301,Mandya,IND,703660,1712004
451,Mangaldoi,BJP,735469,1800237
6024,Mathura,BJP,671293,1807893
7125,Mathurapur,AITC,726828,1652096
3781,Maval,SHS,720663,2298080
2646,Mavelikkara ,INC,440415,1308102
5499,Mayiladuthurai,DMK,599292,1484842
4178,Mayurbhanj ,BJP,483812,1493205
8116,Medak,TRS,596048,1603318
7297,Medinipur,BJP,685433,1674236
5936,Meerut,BJP,586184,1892931
6865,Mirzapur,ADAL,591564,1845150
6218,Misrikh,BJP,534429,1796932
6242,Mohanlalganj,BJP,629999,2023431
5887,Moradabad,SP,649416,1958939
3748,Mumbai   South,SHS,421937,1554176
3641,Mumbai North,BJP,706678,1647350
3682,Mumbai North East,BJP,514599,1588693
3659,Mumbai North West,SHS,570063,1732263
3711,Mumbai North central,BJP,486672,1679891
3732,Mumbai South central,SHS,424913,1440380
952,Munger,JD(U),528762,1888025
7016,Murshidabad,AITC,604346,1725187
5853,Muzaffarnagar,BJP,573780,1698003
739,Muzaffarpur,BJP,666878,1730553
2306,Mysore,BJP,688974,1896333
8481,NEW DELHI                     ,BJP,504206,1617470
8428,NORTH EAST DELHI              ,BJP,787799,2290492
8509,NORTH WEST DELHI              ,BJP,848663,2378995
4247,Nabarangpur ,BJD,392504,1461004
4137,Nagaland,NDPP,500510,1213777
5528,Nagapattinam ,CPI,522892,1303649
8221,Nagarkurnool,TRS,499672,1588111
4776,Nagaur,RLTP,660051,1933169
5878,Nagina,BSP,568378,1586117
3333,Nagpur ,BJP,660221,2161096
7846,Nainital-udhamsingh Nagar,BJP,772195,1828433
970,Nalanda,JD(U),540888,2114809
8233,Nalgonda,INC,526028,1585980
5248,Namakkal,DMK,626293,1413599
3453,Nanded,BJP,486806,1719322
3183,Nandurbar ,BJP,639136,1871099
221,Nandyal,YSRCP,720888,1603220
102,Narasapuram,YSRCP,449234,1439691
180,Narasaraopet,YSRCP,745557,1670391
3540,Nashik,SHS,563599,1885064
1559,Navsari,BJP,972739,1971658
1159,Nawada,LJP,495684,1899747
298,Nellore,YSRCP,683830,1672845
5312,Nilgiris ,DMK,547832,1366060
7916,Nizamabad,BJP,480584,1553385
1184,North Goa,BJP,244844,556761
471,Nowgong,INC,739724,1794648
206,Ongole ,YSRCP,739202,1556469
3954,Osmanabad,SHS,596640,1889740
4111,Outer manipur,NPF,363527,1022099
2564,Palakkad,INC,399274,1323010
7778,Palamau,BJP,755659,1881441
3558,Palghar ,SHS,580479,1885600
4789,Pali,BJP,900149,2161663
1476,Panchmahal,BJP,732136,1744762
3467,Parbhani,SHS,538941,1985228
533,Paschim Champaran,BJP,603706,1633824
1027,Pataliputra,BJP,509557,1925479
1225,Patan,BJP,633368,1807043
2657,Pathanamthitta,INC,380927,1382741
4602,Patiala,INC,532027,1739600
1006,Patna Sahib,BJP,607506,2146008
7885,Peddapalle ,TRS,441321,1479091
5443,Perambalur,DMK,683697,1391853
6471,Phulpur,BJP,544701,2010477
6139,Pilibhit,BJP,704549,1761207
5338,Pollachi,DMK,554230,1520504
2549,Ponnani,IUML,521824,1356803
1372,Porbandar,BJP,563881,1662368
6333,Pratapgarh,BJP,436291,1708759
8580,Puducherry,INC,444981,973410
3802,Pune,BJP,632835,2075824
4286,Puri,BJD,538321,1562331
701,Purnia,JD(U),632924,1765312
7308,Purulia,BJP,668107,1645884
543,Purvi Champaran,BJP,577787,1658672
7405,RAIGARH,BJP,658335,1733805
7514,RAIPUR,BJP,837902,2111738
3070,RAJGARH,BJP,823824,1694329
7477,RAJNANDGAON,BJP,662387,1716459
3113,RATLAM,BJP,696103,1851112
2875,REWA,BJP,583769,1679534
6272,Rae Bareli,INC,534918,1702248
2073,Raichur,BJP,598337,1928204
3763,Raigad,NCP,486968,1652965
6938,Raiganj,BJP,511652,1601220
92,Rajahmundry,YSRCP,582024,1534256
325,Rajampet,YSRCP,702211,1546938
1362,Rajkot,BJP,758645,1884339
