,state,party,total_votes
486,Jharkhand,RJANSWP,4897
487,Jharkhand,RJD,361478
488,Jharkhand,RPI(A),7729
489,Jharkhand,RSPSR,2307
490,Jharkhand,RTORP,2481
491,Jharkhand,RTSGP,3895
492,Jharkhand,SP,1453
493,Jharkhand,SUCI(C),12715
494,Jharkhand,UPNSE,2051
495,Jharkhand,VPI,5099
496,Jharkhand,VSP,4490
497,Karnataka,ABML(S),4624
498,Karnataka,AHNP,4992
499,Karnataka,AINHCP,1189
500,Karnataka,AMKP,829
501,Karnataka,APoI,3635
502,Karnataka,ASP,22619
503,Karnataka,BAHUMP,2028
504,Karnataka,BBKD,2159
505,Karnataka,BBM,5971
506,Karnataka,BHAPRAP,2372
507,Karnataka,BHBHP,1685
508,Karnataka,BHPP,1649
509,Karnataka,BJKD,3344
510,Karnataka,BJP,18053454
511,Karnataka,BMUP,645
512,Karnataka,BPKP,3385
513,Karnataka,BSP,412382
514,Karnataka,CPI,17227
515,Karnataka,CPIM,21923
516,Karnataka,DPPS,429
517,Karnataka,EP,1442
518,Karnataka,GaAP,385
519,Karnataka,HJP,4400
520,Karnataka,ICF,3017
521,Karnataka,ILP(AP),3906
522,Karnataka,INC,11203016
523,Karnataka,INCP,20235
524,Karnataka,IND,1367841
525,Karnataka,IPBP,4625
526,Karnataka,JD(S),3397229
527,Karnataka,JVBP,696
528,Karnataka,KCVP,2510
529,Karnataka,KJP,2013
530,Karnataka,KKJHS,1707
531,Karnataka,KKMP,3084
532,Karnataka,KPJP,1207
533,Karnataka,KPPR,3697
534,Karnataka,MLPOIRF,1609
535,Karnataka,NDEP,1138
536,Karnataka,NOTA,250810
537,Karnataka,PBI,1320
538,Karnataka,PPOI,20760
539,Karnataka,PSPL,2055
540,Karnataka,PSS,3539
541,Karnataka,PUJP,1241
542,Karnataka,PrStP,742
543,Karnataka,RJBP,3128
544,Karnataka,RPI,1059
545,Karnataka,RPI(A),6545
546,Karnataka,RPIK,14746
547,Karnataka,RSPS,4863
548,Karnataka,RTBHP,811
549,Karnataka,RTORP,1033
550,Karnataka,SAJP,4991
551,Karnataka,SDC,1016
552,Karnataka,SDPI,46839
553,Karnataka,SHS,14350
554,Karnataka,SJPA,14213
555,Karnataka,SMFB,3397
556,Karnataka,SUCI(C),24505
557,Karnataka,UPJP,120800
558,Karnataka,VCK,540
559,Karnataka,rpsn,5081
560,Kerala,APoI,3958
561,Kerala,AgIMK,845
