,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
322,Machhlishahr,1034925,2814,[1848306],55.99316347,0.15224752
323,Machilipatnam ,1244570,9098,[1473347],84.47229336,0.61750558
324,Madha,1216319,5587,[1909574],63.69582954,0.29257834
325,Madhepura,1147274,1551,[1884883],60.86712013,0.08228627
326,Madhubani,963708,1414,[1792798],53.7544107,0.07887113
327,Madurai,1016026,4526,[1539026],66.01746819,0.2940821
328,Mahabubabad  ,983535,801,[1424385],69.04980044,0.0562348
329,Maharajganj,972703,3812,[1807768],53.80684911,0.21086777
330,Mahbubnagar,984634,743,[1506102],65.37631581,0.04933265
331,Mahesana,1081938,4891,[1648869],65.61697746,0.29662757
332,Mainpuri,976518,3821,[1723236],56.667688,0.22173399
333,Malappuram,1034618,1621,[1370544],75.48958662,0.1182742
334,Maldaha Dakshin,1279202,3804,[1575590],81.18876104,0.24143337
335,Maldaha Uttar,1354706,2876,[1685955],80.3524412,0.17058581
336,Malkajgiri,1563063,1663,[3150313],49.61611751,0.05278841
337,Mandi,941371,10680,[1281462],73.46070348,0.83342307
338,Mandya,1379210,2844,[1712004],80.56114355,0.16612111
339,Mangaldoi,1506107,4452,[1800237],83.66159567,0.24730077
340,Mathura,1102731,4619,[1807893],60.99536864,0.25549078
341,Mathurapur,1401953,1034,[1652096],84.85905177,0.06258716
342,Maval,1368872,3357,[2298080],59.56589849,0.14607847
343,Mavelikkara ,971035,6746,[1308102],74.23236108,0.51570902
344,Mayiladuthurai,1097243,4326,[1484842],73.89627987,0.29134413
345,Mayurbhanj ,1150357,4845,[1493205],77.0394554,0.32446985
346,Medak,1150223,733,[1603318],71.74016633,0.04571769
347,Medinipur,1409815,2838,[1674236],84.20646791,0.16951015
348,Meerut,1216413,4337,[1892931],64.26082092,0.22911559
349,Mirzapur,1108965,1305,[1845150],60.10161775,0.07072596
350,Misrikh,1026668,1605,[1796932],57.13449368,0.08931891
351,Mohanlalganj,1269594,5658,[2023431],62.74461546,0.27962406
352,Moradabad,1282206,2537,[1958939],65.45410551,0.12950888
353,Mumbai   South,801611,2110,[1554176],51.57787792,0.13576326
354,Mumbai North,989759,1703,[1647350],60.08188909,0.10337815
355,Mumbai North East,908993,1765,[1588693],57.21640367,0.11109761
