,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12
7299,West Bengal,Darjeeling,S.S.AHLUWALIA,M,63.0,GEN,BJP,487864,393,488257,1437154, 
4780,Rajasthan,Dausa,HARISH CHANDRA MEENA ,M,59.0,ST,BJP,314334,725,315059,1524100, 
2408,Karnataka,Davanagere,G M SIDDESHWARA,M,61.0,GEN,BJP,518624,270,518894,1522712, 
6974,Uttar Pradesh,Deoria,KALRAJ MISHRA,M,73.0,GEN,BJP,495861,639,496500,1806926, 
7881,Jharkhand,Dhanbad,PASHUPATI NATH SINGH,M,65.0,GEN,BJP,543482,9,543491,1890021, 
5210,Tamil Nadu,Dharmapuri,ANBUMANI RAMADOSS,M,45.0,GEN,PMK,467775,419,468194,1358273, 
2377,Karnataka,Dharwad,PRALHAD JOSHI,M,51.0,GEN,BJP,544857,538,545395,1578125, 
6329,Uttar Pradesh,Dhaurahra,REKHA,F,39.0,GEN,BJP,360223,134,360357,1558041, 
696,Assam,Dhubri,BADRUDDIN AJMAL,M,59.0,GEN,AIUDF,592338,231,592569,1550166, 
3392,Maharashtra,Dhule,DR. BHAMRE SUBHASH RAMRAO,M,61.0,GEN,BJP,526821,2629,529450,1675367, 
7507,West Bengal,Diamond harbour,ABHISHEK BANERJEE,M,26.0,GEN,AITC,508130,351,508481,1555914, 
810,Assam,Dibrugarh,RAMESWAR TELI,M,43.0,GEN,BJP,494278,86,494364,1124305, 
5462,Tamil Nadu,Dindigul,UDHAYA KUMAR .M,M,45.0,GEN,ADMK,510009,453,510462,1400531, 
3783,Maharashtra,Dindori ,CHAVAN HARISHCHANDRA DEORAM,M,62.0,ST,BJP,542305,479,542784,1530208, 
6861,Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,M,64.0,GEN,BJP,298845,0,298845,1761415, 
7455,West Bengal,Dum dum,SAUGATA ROY,M,66.0,GEN,AITC,482278,966,483244,1405981, 
7790,Jharkhand,Dumka,SHIBU SOREN,M,68.0,ST,JMM,335686,129,335815,1273049, 
8210,NCT OF Delhi,EAST DELHI                    ,MAHEISH GIRRI,M,39.0,GEN,BJP,571567,635,572202,1829578, 
416,Andhra Pradesh,Eluru ,MAGANTI VENKATESWARA RAO (BABU),M,54.0,GEN,TDP,620374,3097,623471,1427764, 
2837,Kerala,Ernakulam,PROF. K.V. THOMAS,M,67.0,GEN,INC,353552,289,353841,1156492, 
5365,Tamil Nadu,Erode,SELVAKUMARA CHINNAYAN S,M,55.0,GEN,ADMK,466382,613,466995,1321399, 
6235,Uttar Pradesh,Etah,RAJVEER SINGH (RAJU BHAIYA),M,53.0,GEN,BJP,474810,168,474978,1577457, 
6573,Uttar Pradesh,Etawah,ASHOK KUMAR DOHAREY,M,43.0,SC,BJP,438762,884,439646,1707237, 
6780,Uttar Pradesh,Faizabad,LALLU SINGH,M,59.0,GEN,BJP,491663,98,491761,1738701, 
