,party,state,total_votes,split_votes,vote_perc
587,JJ,Tamil Nadu,1517,520018484,0.00029172039969256174
781,RAHM,Uttar Pradesh,1493,520018484,0.00028710517913051723
658,LoRP,Gujarat,1491,520018484,0.00028672057741701353
744,PECP,Madhya Pradesh,1484,520018484,0.00028537447141975054
717,NJC,Uttar Pradesh,1463,520018484,0.0002813361534279616
733,NPT,Andhra Pradesh,1455,520018484,0.0002797977465739468
540,IUML,Assam,1455,520018484,0.0002797977465739468
285,BNIP,Uttar Pradesh,1440,520018484,0.000276913233722669
876,RVMP,Uttar Pradesh,1434,520018484,0.00027575942858215787
872,RUC,Haryana,1429,520018484,0.0002747979242983986
657,LSWP,Madhya Pradesh,1429,520018484,0.0002747979242983986
304,BSKD,Uttar Pradesh,1423,520018484,0.00027364411915788747
341,BhNaP,Madhya Pradesh,1408,520018484,0.0002707596063066097
603,JMBP,Manipur,1403,520018484,0.0002697981020228504
76,ABHM,Maharashtra,1395,520018484,0.00026825969516883555
656,LSWP,Gujarat,1391,520018484,0.0002674904917418282
924,SHS,Telangana,1390,520018484,0.0002672981908850763
755,PLP,Punjab,1386,520018484,0.0002665289874580689
555,JAP,Uttar Pradesh,1376,520018484,0.00026460597889055033
634,KDC,Karnataka,1345,520018484,0.00025864465233124294
424,DPPS,Karnataka,1342,520018484,0.00025806774976098735
256,BJSP,Maharashtra,1337,520018484,0.00025710624547722806
627,JaRaPa,Uttar Pradesh,1318,520018484,0.00025345252919894284
840,RPI(A),NCT OF Delhi,1317,520018484,0.000253260228342191
7, ,Daman & Diu,1316,520018484,0.0002530679274854392
110,AIFB,Haryana,1314,520018484,0.00025268332577193544
788,RBHP,Haryana,1297,520018484,0.0002494142112071539
867,RSPS,Tamil Nadu,1276,520018484,0.00024537589321536505
417,DESEP,Maharashtra,1262,520018484,0.00024268368122083906
808,RKEP,Gujarat,1254,520018484,0.00024114527436682425
835,RPI(A),Haryana,1251,520018484,0.0002405683717965687
440,GaAP,Maharashtra,1201,520018484,0.000230953328958976
726,NOC,Tamil Nadu,1198,520018484,0.00023037642638872044
125,AIMF,West Bengal,1195,520018484,0.00022979952381846488
852,RPP(LB),Haryana,1195,520018484,0.00022979952381846488
692,NADP,NCT OF Delhi,1182,520018484,0.0002272996126806908
1032,aimpr,Punjab,1182,520018484,0.0002272996126806908
258,BKP,Uttar Pradesh,1174,520018484,0.00022576120582667596
117,AIFB,Punjab,1168,520018484,0.00022460740068616484
297,BRVP,Uttar Pradesh,1152,520018484,0.00022153058697813518
701,NCP,Andaman & Nicobar Islands,1151,520018484,0.00022133828612138333
307,BSP,Andaman & Nicobar Islands,1139,520018484,0.0002190306758403611
1035,bjdi,NCT OF Delhi,1118,520018484,0.00021499235784857218
1044,kajp,Uttarakhand,1117,520018484,0.0002148000569918203
794,RGD,Uttar Pradesh,1111,520018484,0.00021364625185130918
873,RUC,Rajasthan,1103,520018484,0.00021210784499729437
465,IJP,West Bengal,1103,520018484,0.00021210784499729437
301,BSD,Uttar Pradesh,1096,520018484,0.0002107617390000314
643,LD,Haryana,1092,520018484,0.00020999253557302396
1020,VoP,Gujarat,1089,520018484,0.0002094156330027684
573,JD(U),Manipur,1085,520018484,0.000208646429575761
787,RBCP,Haryana,1084,520018484,0.00020845412871900917
87,ABMP,Maharashtra,1077,520018484,0.00020710802272174615
1003,TRMRPPI,West Bengal,1071,520018484,0.00020595421758123504
159,ALHP,Madhya Pradesh,1067,520018484,0.00020518501415422766
460,IBSP,Uttar Pradesh,1059,520018484,0.0002036466073002128
859,RSOSP,Uttar Pradesh,1054,520018484,0.00020268510301645352
926,SHS,Uttarakhand,1043,520018484,0.00020056979359218315
155,AKBAP,Rajasthan,1040,520018484,0.0001999928910219276
817,RMGP,Uttarakhand,1037,520018484,0.00019941598845167204
292,BRAVP,Uttar Pradesh,1021,520018484,0.0001963391747436424
685,MaJP,Uttar Pradesh,997,520018484,0.0001917239541815979
837,RPI(A),Kerala,997,520018484,0.0001917239541815979
459,HiSP,Himachal Pradesh,997,520018484,0.0001917239541815979
847,RPI(KH),Gujarat,990,520018484,0.00019037784818433493
183,ASP,Maharashtra,987,520018484,0.00018980094561407937
311,BSP,Dadra & Nagar Haveli,982,520018484,0.00018883944133032008
639,LB,Arunachal Pradesh,980,520018484,0.0001884548396168164
