,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
297,Madurai,974809,916,[1539026],63.33934579,0.05951816
298,Mahabubabad  ,1124372,4101,[1424385],78.93736595,0.28791373
299,Maharajganj,1902732,329,[1807768],105.2531077,0.01819924
300,Mahbubnagar,1014800,6088,[1506102],67.37923461,0.40422229
301,Mahesana,1004258,6523,[1648869],60.90586942,0.3956045
302,Mainpuri,999265,727,[1723236],57.98770453,0.04218807
303,Malappuram,853467,531,[1370544],62.27213428,0.03874374
304,Maldaha Dakshin,1092407,3027,[1575590],69.33320217,0.19211851
305,Maldaha Uttar,1162985,1833,[1685955],68.98078537,0.10872176
306,Malkajgiri,1620444,4598,[3150313],51.43755557,0.14595375
307,Mandi,726094,1024,[1281462],56.66137583,0.07990873
308,Mandya,1192638,833,[1712004],69.66327181,0.04865643
309,Mangaldoi,1233237,188,[1800237],68.50414695,0.01044307
310,Mathura,1076868,194,[1807893],59.56480832,0.01073072
311,Mathurapur,1270985,1269,[1652096],76.93166741,0.07681152
312,Maval,1174335,386,[2298080],51.10070146,0.01679663
313,Mavelikkara ,889060,1880,[1308102],67.96564794,0.14371968
314,Mayiladuthurai,1025538,2282,[1484842],69.06714654,0.15368639
315,Medak,1191011,2927,[1603318],74.28414076,0.18255892
316,Medinipur,1260748,1368,[1674236],75.30288442,0.08170891
317,Meerut,1113384,1842,[1892931],58.81799178,0.09730941
318,Mirzapur,1007627,46,[1845150],54.60948974,0.00249302
319,Misrikh,998314,224,[1796932],55.556582,0.01246569
320,Mohanlalganj,1116588,1740,[2023431],55.18290468,0.08599255
321,Moradabad,1127965,1873,[1958939],57.58040449,0.09561298
322,Mumbai   South,779741,1075,[1554176],50.17070139,0.06916849
323,Mumbai North,946562,920,[1647350],57.45967766,0.05584727
324,Mumbai North East,861761,651,[1588693],54.24339378,0.04097708
325,Mumbai North West,895517,520,[1732263],51.69636481,0.03001854
326,Mumbai North central,845292,425,[1679891],50.3182647,0.02529926
327,Mumbai South central,768627,497,[1440380],53.36279315,0.03450478
328,Munger,914350,82,[1888025],48.42891381,0.00434316
329,Murshidabad,1287763,268,[1725187],74.6448356,0.01553455
330,Muzaffarnagar,1107434,4721,[1698003],65.21979054,0.27803249
