pc_name,party,max_total_votes,total_electors
Thanjavur,ADMK,510307,1340050
Theni ,ADMK,571254,1441302
Thiruvallur ,ADMK,628499,1702833
Thiruvananthapuram,INC,297806,1272748
Thoothukkudi,ADMK,366052,1310406
Thrissur,CPI,389209,1275288
Tiruchirappalli,ADMK,458478,1387140
Tirunelveli,ADMK,398139,1420435
Tirupati ,YSRCP,580376,1574161
Tiruppur,ADMK,442778,1375589
Tiruvannamalai,ADMK,500751,1352966
Tripura East,CPM,623771,1140276
Tripura West,CPM,671665,1248546
Tumkur,INC,429868,1518518
Tura ,NPEP,239301,586501
UJJAIN,BJP,641101,1525481
Udaipur,BJP,660373,1817940
Udhampur,BJP,487369,1469072
Udupi Chikmagalur,BJP,581168,1387294
Ujiarpur,BJP,317352,1426217
Uluberia,AITC,570785,1448632
Unnao,BJP,518834,2164392
Uttara Kannada,BJP,546939,1450599
VIDISHA,BJP,714348,1634039
Vadakara,INC,416479,1182504
Vadodara,BJP,845464,1638321
Vaishali,LJP,305450,1566321
Valmiki Nagar,BJP,364013,1456598
Valsad,BJP,617772,1512061
Varanasi,BJP,581022,1766487
Vellore,ADMK,383719,1312259
Vijayawada,TDP,592953,1564513
Viluppuram,ADMK,482704,1387007
Virudhunagar,ADMK,406694,1350495
Visakhapatnam,BJP,566832,1723011
Vizianagaram,TDP,536549,1403736
WEST DELHI                    ,BJP,651395,2039410
Warangal,TRS,661639,1537778
Wardha,BJP,537518,1564552
Wayanad,INC,377035,1249420
Yavatmal-Washim,SHS,477905,1755292
Zahirabad,TRS,508661,1445354
