,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes_x,total_electors,margin,margin_difference,votes,total_votes_y,votes_share
134,Rajasthan,Jaipur Rural,COL. RAJYAVARDHAN RATHORE,MALE,49.0,GENERAL,BJP,811626,8506,820132,1952542,0,,18968392,32441064,58.47031404395368
135,Rajasthan,Jalore,Devaji Patel,MALE,42.0,GENERAL,BJP,772383,450,772833,2071244,0,,18968392,32441064,58.47031404395368
136,Rajasthan,Jhunjhunu,NARENDRA KUMAR,MALE,58.0,GENERAL,BJP,722994,15169,738163,1937882,0,,18968392,32441064,58.47031404395368
137,Rajasthan,Jodhpur,Gajendra Singh Shekhawat,MALE,51.0,GENERAL,BJP,781166,7722,788888,1956755,0,,18968392,32441064,58.47031404395368
138,Rajasthan,KARAULI-DHOLPUR,MANOJ RAJORIA,MALE,49.0,SC,BJP,523801,2642,526443,1810574,0,,18968392,32441064,58.47031404395368
139,Rajasthan,Kota,OM BIRLA,MALE,56.0,GENERAL,BJP,796071,3980,800051,1948010,0,,18968392,32441064,58.47031404395368
140,Rajasthan,Pali,P. P. CHAUDHARY,MALE,65.0,GENERAL,BJP,890817,9332,900149,2161663,0,,18968392,32441064,58.47031404395368
141,Rajasthan,Rajsamand,Diya Kumari,FEMALE,48.0,GENERAL,BJP,858690,4349,863039,1912911,0,,18968392,32441064,58.47031404395368
142,Rajasthan,Sikar,Sumedhanand Saraswati,MALE,67.0,GENERAL,BJP,761332,10772,772104,2041612,0,,18968392,32441064,58.47031404395368
143,Rajasthan,TONK-SAWAI MADHOPUR,Sukhbir Singh Jaunapuria,MALE,61.0,GENERAL,BJP,641561,2758,644319,1945992,0,,18968392,32441064,58.47031404395368
144,Rajasthan,Udaipur,ARJUNLAL MEENA,MALE,54.0,ST,BJP,867694,3854,871548,2069559,0,,18968392,32441064,58.47031404395368
145,Kerala,Alappuzha,Adv. A M ARIFF,MALE,54.0,GENERAL,CPIM,443003,2967,445970,1356701,0,,5270241,20385216,25.853250708748927
146,Kerala,Alathur ,RAMYA HARIDAS,FEMALE,32.0,SC,INC,532493,1322,533815,1266794,0,,7596610,20385216,37.26529068909547
147,Kerala,Attingal,Adv. ADOOR PRAKASH,MALE,63.0,GENERAL,INC,379469,1526,380995,1350710,0,,7596610,20385216,37.26529068909547
148,Kerala,Chalakudy,BENNY BEHANAN,MALE,66.0,GENERAL,INC,472935,509,473444,1230197,0,,7596610,20385216,37.26529068909547
149,Kerala,Ernakulam,HIBI EDEN,MALE,35.0,GENERAL,INC,490854,409,491263,1245972,0,,7596610,20385216,37.26529068909547
150,Kerala,Idukki,Adv. DEAN KURIAKOSE,MALE,37.0,GENERAL,INC,497697,796,498493,1204191,0,,7596610,20385216,37.26529068909547
151,Kerala,Kannur,K. SUDHAKARAN,MALE,70.0,GENERAL,INC,527685,2056,529741,1266550,0,,7596610,20385216,37.26529068909547
152,Kerala,Kasaragod,Rajmohan Unnithan,MALE,65.0,GENERAL,INC,473983,978,474961,1363937,0,,7596610,20385216,37.26529068909547
153,Kerala,Kozhikode,M.K.RAGHAVAN,MALE,66.0,GENERAL,INC,491835,1609,493444,1318024,0,,7596610,20385216,37.26529068909547
154,Kerala,Mavelikkara ,KODIKUNNIL SURESH,MALE,56.0,SC,INC,437997,2418,440415,1308102,0,,7596610,20385216,37.26529068909547
155,Kerala,Palakkad,V K SREEKANDAN,MALE,49.0,GENERAL,INC,398714,560,399274,1323010,0,,7596610,20385216,37.26529068909547
156,Kerala,Pathanamthitta,ANTO ANTONY,MALE,62.0,GENERAL,INC,380089,838,380927,1382741,0,,7596610,20385216,37.26529068909547
157,Kerala,Thiruvananthapuram,Dr. SHASHI THAROOR,MALE,63.0,GENERAL,INC,414057,2074,416131,1371427,0,,7596610,20385216,37.26529068909547
158,Kerala,Thrissur,T. N. PRATHAPAN,MALE,58.0,GENERAL,INC,414541,548,415089,1337110,0,,7596610,20385216,37.26529068909547
159,Kerala,Vadakara,K. MURALEEDHARAN,MALE,62.0,GENERAL,INC,525004,1751,526755,1288926,0,,7596610,20385216,37.26529068909547
160,Kerala,Wayanad,Rahul Gandhi,MALE,48.0,GENERAL,INC,705034,1333,706367,1359679,0,,7596610,20385216,37.26529068909547
161,West Bengal,Alipurduars,JOHN BARLA,MALE,43.0,ST,BJP,747788,3016,750804,1648383,0,,23028517,57206976,40.25473571614763
162,West Bengal,Asansol,BABUL SUPRIYO,MALE,48.0,GENERAL,BJP,632727,651,633378,1615865,0,,23028517,57206976,40.25473571614763
163,West Bengal,Balurghat,Sukanta Majumdar,MALE,39.0,GENERAL,BJP,537577,1740,539317,1431704,0,,23028517,57206976,40.25473571614763
164,West Bengal,Bangaon,SHANTANU THAKUR,MALE,37.0,SC,BJP,685237,2385,687622,1704632,0,,23028517,57206976,40.25473571614763
165,West Bengal,Bankura,DR. SUBHAS SARKAR,MALE,65.0,GENERAL,BJP,672202,3117,675319,1648906,0,,23028517,57206976,40.25473571614763
166,West Bengal,Bardhaman Durgapur,S.S AHLUWALIA,MALE,67.0,GENERAL,BJP,597450,926,598376,1733578,0,,23028517,57206976,40.25473571614763
167,West Bengal,Barrackpore,ARJUN SINGH,MALE,57.0,GENERAL,BJP,471490,1504,472994,1436431,0,,23028517,57206976,40.25473571614763
168,West Bengal,Bishnupur,KHAN SAUMITRA,MALE,38.0,SC,BJP,654904,2115,657019,1627199,0,,23028517,57206976,40.25473571614763
169,West Bengal,Cooch behar,NISITH PRAMANIK,MALE,33.0,SC,BJP,728634,2960,731594,1814200,0,,23028517,57206976,40.25473571614763
